landmark,religion,city,country,founded,difficulty,riddle,hint,answer,points
Jwala Devi Temple,Hinduism,Kangra,India,Ancient,Easy,"I hold immense importance in Hinduism history, especially because I am eternal flame emerges from rock. Name this place.",City: Kangra,jwala devi temple,10
Badrinath Temple,Hinduism,Badrinath,India,8th century,Medium,"Pilgrims travel great distances to reach me, for I am part of Char Dham Yatra. Located in India, who am I?",City: Badrinath,badrinath temple,20
Udupi Sri Krishna Temple,Hinduism,Udupi,India,13th century,Medium,"I am not just a place, but a symbol of identity in Hinduism because of idol viewed through silver window. Name me.",City: Udupi,udupi sri krishna temple,20
Guruvayur Temple,Hinduism,Guruvayur,India,Ancient,Medium,"I symbolize spiritual power in India, especially because I am major Kerala pilgrimage. Name this holy place.",City: Guruvayur,guruvayur temple,20
Vaishno Devi Temple,Hinduism,Katra,India,Ancient cave shrine,Easy,"My rituals and traditions revolve around one of the most visited pilgrimage sites in India. Located in Katra, who am I?",City: Katra,vaishno devi temple,10
ISKCON Temple Imphal,Hinduism,Imphal,India,1981,Medium,"Pilgrims travel great distances to reach me, for I am part of ISKCON movement. Located in India, who am I?",City: Imphal,iskcon temple imphal,20
Mata Mansa Devi Temple,Hinduism,Panchkula,India,19th century,Medium,"My history dates back to 19th century, and I am known for one of North India's popular Shakti temples. What sacred site am I?",City: Panchkula,mata mansa devi temple,20
Somnath Temple,Hinduism,Somnath,India,Ancient (rebuilt 1951),Easy,"Across generations, I have remained revered due to first among the twelve Jyotirlingas. What holy site am I?",City: Somnath,somnath temple,10
Dakshineswar Kali Temple,Hinduism,Kolkata,India,1855,Hard,"As a sacred center of Hinduism, I am especially known for located on Hooghly River. What is my name?",City: Kolkata,dakshineswar kali temple,30
Nartiang Durga Temple,Hinduism,Nartiang,India,16th century,Hard,"As a sacred center of Hinduism, I am especially known for associated with Jaintia kings. What is my name?",City: Nartiang,nartiang durga temple,30
Vaishno Devi Temple,Hinduism,Katra,India,Ancient cave shrine,Medium,"Since Ancient cave shrine, I have witnessed centuries of devotion. I am dedicated to Goddess Durga. Name me.",City: Katra,vaishno devi temple,20
Khajuraho Temple Complex,Hinduism,Khajuraho,India,950–1050 CE,Easy,"I symbolize spiritual power in India, especially because I am UNESCO World Heritage Site. Name this holy place.",City: Khajuraho,khajuraho temple complex,10
Kashi Vishwanath Temple,Hinduism,Varanasi,India,1780 (rebuilt),Medium,"Across generations, I have remained revered due to located near Ganges River. What holy site am I?",City: Varanasi,kashi vishwanath temple,20
Manakula Vinayagar Temple,Hinduism,Puducherry,India,17th century,Medium,"Travelers journey to Puducherry seeking me, for I am famous for survived French colonial attempts. What place am I?",City: Puducherry,manakula vinayagar temple,20
Ramanathaswamy Temple,Hinduism,Rameswaram,India,12th century,Easy,"I hold immense importance in Hinduism history, especially because I am has the longest corridor among Hindu temples. Name this place.",City: Rameswaram,ramanathaswamy temple,10
Mahabodhi Temple,Buddhism,Bodh Gaya,India,3rd century BCE,Easy,"I am not just a place, but a symbol of identity in Buddhism because of major Buddhist pilgrimage site. Name me.",City: Bodh Gaya,mahabodhi temple,10
Tirupati Balaji Temple,Hinduism,Tirumala,India,Ancient (over 1500 years old),Hard,"My identity is tied to dedicated to Lord Venkateswara, making me sacred to millions. What landmark am I?",City: Tirumala,tirupati balaji temple,30
Swaminarayan Temple Silvassa,Hinduism,Silvassa,India,20th century,Hard,"Through centuries since 20th century, I remain a symbol of Hinduism. I am major spiritual center in region. Who am I?",City: Silvassa,swaminarayan temple silvassa,30
Lotus Temple,Bahá'í Faith,New Delhi,India,1986,Easy,"My rituals and traditions revolve around open to all religions. Located in New Delhi, who am I?",City: New Delhi,lotus temple,10
Kanaka Durga Temple,Hinduism,Vijayawada,India,Ancient,Medium,"Pilgrims travel great distances to reach me, for I am major Dasara festival site. Located in India, who am I?",City: Vijayawada,kanaka durga temple,20
Kamakhya Temple,Hinduism,Guwahati,India,8th century,Medium,"I symbolize spiritual power in India, especially because I am dedicated to Goddess Kamakhya. Name this holy place.",City: Guwahati,kamakhya temple,20
Ambaji Temple,Hinduism,Ambaji,India,Ancient,Medium,"Travelers journey to Ambaji seeking me, for I am famous for dedicated to Goddess Amba. What place am I?",City: Ambaji,ambaji temple,20
Gangeshwar Temple,Hinduism,Diu,India,Ancient,Medium,"My walls echo with prayers connected to associated with Pandavas. In India, I stand timeless. Who am I?",City: Diu,gangeshwar temple,20
Udupi Sri Krishna Temple,Hinduism,Udupi,India,13th century,Medium,"I am a major pilgrimage destination because of major Vaishnavite center. Found in Udupi, identify me.",City: Udupi,udupi sri krishna temple,20
Shanta Durga Temple,Hinduism,Ponda,India,1738,Easy,"Standing proudly in Ponda, I am deeply connected to Indo-Portuguese architecture. Identify this sacred landmark.",City: Ponda,shanta durga temple,10
Belur Math,Hinduism,Howrah,India,1897,Medium,"As a sacred center of Hinduism, I am especially known for located on Hooghly River. What is my name?",City: Howrah,belur math,20
Pemayangtse Monastery,Buddhism,Pelling,India,1705,Hard,"Through centuries since 1705, I remain a symbol of Buddhism. I am major Buddhist pilgrimage. Who am I?",City: Pelling,pemayangtse monastery,30
Siddhivinayak Temple,Hinduism,Mumbai,India,1801,Easy,"Travelers journey to Mumbai seeking me, for I am famous for dedicated to Lord Ganesha. What place am I?",City: Mumbai,siddhivinayak temple,10
Baidyanath Temple,Hinduism,Deoghar,India,Ancient,Medium,"Travelers journey to Deoghar seeking me, for I am famous for also called Baba Dham. What place am I?",City: Deoghar,baidyanath temple,20
Mary Help of Christians Cathedral,Christianity,Kohima,India,1990,Hard,"Standing proudly in Kohima, I am deeply connected to unique Naga architecture elements. Identify this sacred landmark.",City: Kohima,mary help of christians cathedral,30
Meenakshi Amman Temple,Hinduism,Madurai,India,Ancient (rebuilt 16th century),Easy,"In Madurai, I quietly carry the weight of famous for colorful gopurams in spiritual history. Identify me.",City: Madurai,meenakshi amman temple,10
Yadadri Lakshmi Narasimha Temple,Hinduism,Yadadri,India,Ancient (renovated 2022),Easy,"My identity is tied to located on a hill, making me sacred to millions. What landmark am I?",City: Yadadri,yadadri lakshmi narasimha temple,10
Golden Temple,Sikhism,Amritsar,India,1604,Easy,"My identity is tied to also called Harmandir Sahib, making me sacred to millions. What landmark am I?",City: Amritsar,golden temple,10
Birla Mandir Hyderabad,Hinduism,Hyderabad,India,1976,Easy,"I hold immense importance in Hinduism history, especially because I am overlooks Hussain Sagar Lake. Name this place.",City: Hyderabad,birla mandir hyderabad,10
Kamakhya Temple,Hinduism,Guwahati,India,8th century,Easy,"Pilgrims travel great distances to reach me, for I am famous Ambubachi Mela. Located in India, who am I?",City: Guwahati,kamakhya temple,10
Udupi Sri Krishna Temple,Hinduism,Udupi,India,13th century,Medium,"As a sacred center of Hinduism, I am especially known for established by Madhvacharya. What is my name?",City: Udupi,udupi sri krishna temple,20
Kashi Vishwanath Temple,Hinduism,Varanasi,India,1780 (rebuilt),Easy,I shape the spiritual culture of India through one of the twelve Jyotirlingas. What sacred landmark am I?,City: Varanasi,kashi vishwanath temple,10
Trimbakeshwar Temple,Hinduism,Nashik,India,18th century,Hard,"Though centuries have passed since 18th century, devotion tied to origin of Godavari River still defines me. Who am I?",City: Nashik,trimbakeshwar temple,30
Takht Sri Kesgarh Sahib,Sikhism,Anandpur Sahib,India,1699,Medium,Millions visit me each year seeking blessings connected to birthplace of Khalsa. What place am I?,City: Anandpur Sahib,takht sri kesgarh sahib,20
Manakula Vinayagar Temple,Hinduism,Puducherry,India,17th century,Medium,"I symbolize spiritual power in India, especially because I am dedicated to Lord Ganesha. Name this holy place.",City: Puducherry,manakula vinayagar temple,20
Vaishno Devi Temple,Hinduism,Katra,India,Ancient cave shrine,Easy,Devotees of Hinduism consider me holy because I am requires a 13 km trek. Identify me.,City: Katra,vaishno devi temple,10
Kalighat Kali Temple,Hinduism,Kolkata,India,19th century,Easy,"I am a major pilgrimage destination because of dedicated to Goddess Kali. Found in Kolkata, identify me.",City: Kolkata,kalighat kali temple,10
Umananda Temple,Hinduism,Guwahati,India,17th century,Easy,Millions visit me each year seeking blessings connected to smallest inhabited river island. What place am I?,City: Guwahati,umananda temple,10
Ramanathaswamy Temple,Hinduism,Rameswaram,India,12th century,Easy,"In Rameswaram, I quietly carry the weight of dedicated to Lord Shiva in spiritual history. Identify me.",City: Rameswaram,ramanathaswamy temple,10
Dharmasthala Manjunatha Temple,Hinduism,Dharmasthala,India,16th century,Hard,I shape the spiritual culture of India through dedicated to Lord Manjunatha. What sacred landmark am I?,City: Dharmasthala,dharmasthala manjunatha temple,30
Mahakaleshwar Temple,Hinduism,Ujjain,India,Ancient,Easy,Devotees of Hinduism consider me holy because I am one of the twelve Jyotirlingas. Identify me.,City: Ujjain,mahakaleshwar temple,10
Catholic Cathedral of Christ the King,Christianity,Aizawl,India,1998,Easy,Millions visit me each year seeking blessings connected to major Catholic church in Mizoram. What place am I?,City: Aizawl,catholic cathedral of christ the king,10
Tulja Bhavani Temple,Hinduism,Tuljapur,India,12th century,Medium,"In the ancient city of Tuljapur, I draw pilgrims from across India. I am known for dedicated to Goddess Bhavani. Who am I?",City: Tuljapur,tulja bhavani temple,20
Kollur Mookambika Temple,Hinduism,Kollur,India,Ancient,Medium,"Pilgrims travel great distances to reach me, for I am associated with Adi Shankaracharya. Located in India, who am I?",City: Kollur,kollur mookambika temple,20
Udupi Sri Krishna Temple,Hinduism,Udupi,India,13th century,Medium,"In the ancient city of Udupi, I draw pilgrims from across India. I am known for idol viewed through silver window. Who am I?",City: Udupi,udupi sri krishna temple,20
Parasnath Hill Temples,Jainism,Giridih,India,Ancient,Medium,Devotees of Jainism consider me holy because I am sacred hill shrine. Identify me.,City: Giridih,parasnath hill temples,20
Jama Masjid,Islam,Delhi,India,1656,Medium,"In Delhi, I quietly carry the weight of can accommodate 25,000 worshippers in spiritual history. Identify me.",City: Delhi,jama masjid,20
Arunachaleswarar Temple,Hinduism,Tiruvannamalai,India,9th century,Medium,I am sacred ground where one of Pancha Bhoota temples defines my importance. Identify this spiritual destination.,City: Tiruvannamalai,arunachaleswarar temple,20
Bomdila Monastery,Buddhism,Bomdila,India,1965,Easy,Millions visit me each year seeking blessings connected to major Buddhist center. What place am I?,City: Bomdila,bomdila monastery,10
Thiksey Monastery,Buddhism,Leh,India,15th century,Hard,"My identity is tied to houses large Maitreya statue, making me sacred to millions. What landmark am I?",City: Leh,thiksey monastery,30
Simhachalam Temple,Hinduism,Visakhapatnam,India,11th century,Easy,I am sacred ground where dedicated to Lord Narasimha defines my importance. Identify this spiritual destination.,City: Visakhapatnam,simhachalam temple,10
Padmanabhaswamy Temple,Hinduism,Thiruvananthapuram,India,16th century,Medium,"My rituals and traditions revolve around considered one of the richest temples. Located in Thiruvananthapuram, who am I?",City: Thiruvananthapuram,padmanabhaswamy temple,20
Padmanabhaswamy Temple,Hinduism,Thiruvananthapuram,India,16th century,Medium,"In Thiruvananthapuram, I quietly carry the weight of famous temple vault treasures in spiritual history. Identify me.",City: Thiruvananthapuram,padmanabhaswamy temple,20
ISKCON Temple Imphal,Hinduism,Imphal,India,1981,Easy,"In the ancient city of Imphal, I draw pilgrims from across India. I am known for promotes Bhagavad Gita teachings. Who am I?",City: Imphal,iskcon temple imphal,10
Akshardham Temple,Hinduism,New Delhi,India,2005,Easy,I am one of the most important places in Hinduism due to largest Hindu temple complex in Delhi. Who am I?,City: New Delhi,akshardham temple,10
Golden Temple,Sikhism,Amritsar,India,1604,Easy,"Through centuries since 1604, I remain a symbol of Sikhism. I am covered in gold plating. Who am I?",City: Amritsar,golden temple,10
Bhoramdeo Temple,Hinduism,Kawardha,India,11th century,Easy,Millions visit me each year seeking blessings connected to surrounded by forests. What place am I?,City: Kawardha,bhoramdeo temple,10
Jwala Devi Temple,Hinduism,Kangra,India,Ancient,Medium,"I hold immense importance in Hinduism history, especially because I am visited by Mughal Emperor Akbar. Name this place.",City: Kangra,jwala devi temple,20
Umananda Temple,Hinduism,Guwahati,India,17th century,Medium,Millions visit me each year seeking blessings connected to dedicated to Lord Shiva. What place am I?,City: Guwahati,umananda temple,20
Dharmasthala Manjunatha Temple,Hinduism,Dharmasthala,India,16th century,Easy,"Standing proudly in Dharmasthala, I am deeply connected to dedicated to Lord Manjunatha. Identify this sacred landmark.",City: Dharmasthala,dharmasthala manjunatha temple,10
Bhoramdeo Temple,Hinduism,Kawardha,India,11th century,Hard,I shape the spiritual culture of India through features intricate carvings. What sacred landmark am I?,City: Kawardha,bhoramdeo temple,30
Tripura Sundari Temple,Hinduism,Udaipur,India,1501,Medium,"Through centuries since 1501, I remain a symbol of Hinduism. I am one of the 51 Shakti Peethas. Who am I?",City: Udaipur,tripura sundari temple,20
Mata Mansa Devi Temple,Hinduism,Panchkula,India,19th century,Easy,"I symbolize spiritual power in India, especially because I am located in Shivalik foothills. Name this holy place.",City: Panchkula,mata mansa devi temple,10
Sabarimala Temple,Hinduism,Pathanamthitta,India,Ancient,Medium,"In Pathanamthitta, I quietly carry the weight of located in forested hills in spiritual history. Identify me.",City: Pathanamthitta,sabarimala temple,20
Ambaji Temple,Hinduism,Ambaji,India,Ancient,Medium,"Across generations, I have remained revered due to one of 51 Shakti Peethas. What holy site am I?",City: Ambaji,ambaji temple,20
Padmanabhaswamy Temple,Hinduism,Thiruvananthapuram,India,16th century,Easy,I shape the spiritual culture of India through dedicated to Lord Vishnu. What sacred landmark am I?,City: Thiruvananthapuram,padmanabhaswamy temple,10
Vaishno Devi Temple,Hinduism,Katra,India,Ancient cave shrine,Medium,"I am a beacon of faith and tradition, known particularly for requires a 13 km trek. Who am I?",City: Katra,vaishno devi temple,20
Tripura Sundari Temple,Hinduism,Udaipur,India,1501,Easy,I shape the spiritual culture of India through located near Kalyan Sagar lake. What sacred landmark am I?,City: Udaipur,tripura sundari temple,10
Shree Govindajee Temple,Hinduism,Imphal,India,1846,Easy,"Standing proudly in Imphal, I am deeply connected to dedicated to Lord Krishna. Identify this sacred landmark.",City: Imphal,shree govindajee temple,10
Kachari Ruins Temple,Hinduism,Dimapur,India,10th century,Easy,"I am a major pilgrimage destination because of ancient stone pillars. Found in Dimapur, identify me.",City: Dimapur,kachari ruins temple,10
Tirupati Balaji Temple,Hinduism,Tirumala,India,Ancient (over 1500 years old),Easy,"My walls echo with prayers connected to dedicated to Lord Venkateswara. In India, I stand timeless. Who am I?",City: Tirumala,tirupati balaji temple,10
Konark Sun Temple,Hinduism,Konark,India,13th century,Easy,"Though centuries have passed since 13th century, devotion tied to built as a giant chariot still defines me. Who am I?",City: Konark,konark sun temple,10
Ramanathaswamy Temple,Hinduism,Rameswaram,India,12th century,Easy,"I hold immense importance in Hinduism history, especially because I am famous for longest temple corridor in India. Name this place.",City: Rameswaram,ramanathaswamy temple,10
Mata Mansa Devi Temple,Hinduism,Panchkula,India,19th century,Medium,I am sacred ground where major Navratri pilgrimage site defines my importance. Identify this spiritual destination.,City: Panchkula,mata mansa devi temple,20
Kashi Vishwanath Temple,Hinduism,Varanasi,India,1780 (rebuilt),Easy,"Pilgrims travel great distances to reach me, for I am major Hindu pilgrimage site. Located in India, who am I?",City: Varanasi,kashi vishwanath temple,10
Badrinath Temple,Hinduism,Badrinath,India,8th century,Medium,Devotees of Hinduism consider me holy because I am founded by Adi Shankaracharya. Identify me.,City: Badrinath,badrinath temple,20
Vishnupad Temple,Hinduism,Gaya,India,18th century,Medium,"I symbolize spiritual power in India, especially because I am contains footprint of Vishnu. Name this holy place.",City: Gaya,vishnupad temple,20
Hemis Monastery,Buddhism,Leh,India,1672,Medium,Devotees of Buddhism consider me holy because I am largest monastery in Ladakh. Identify me.,City: Leh,hemis monastery,20
Thiksey Monastery,Buddhism,Leh,India,15th century,Hard,I am one of the most important places in Buddhism due to resembles Potala Palace. Who am I?,City: Leh,thiksey monastery,30
Tirupati Balaji Temple,Hinduism,Tirumala,India,Ancient (over 1500 years old),Hard,"Standing proudly in Tirumala, I am deeply connected to located on seven hills. Identify this sacred landmark.",City: Tirumala,tirupati balaji temple,30
Konark Sun Temple,Hinduism,Konark,India,13th century,Medium,"In the ancient city of Konark, I draw pilgrims from across India. I am known for famous stone carvings. Who am I?",City: Konark,konark sun temple,20
Ajmer Sharif Dargah,Islam,Ajmer,India,13th century,Medium,Devotees of Islam consider me holy because I am visited by people of all religions. Identify me.,City: Ajmer,ajmer sharif dargah,20
Anandpur Sahib,Sikhism,Anandpur Sahib,India,1665,Hard,"Standing proudly in Anandpur Sahib, I am deeply connected to birthplace of the Khalsa. Identify this sacred landmark.",City: Anandpur Sahib,anandpur sahib,30
Yadadri Lakshmi Narasimha Temple,Hinduism,Yadadri,India,Ancient (renovated 2022),Easy,"In Yadadri, I quietly carry the weight of located on a hill in spiritual history. Identify me.",City: Yadadri,yadadri lakshmi narasimha temple,10
Nartiang Durga Temple,Hinduism,Nartiang,India,16th century,Medium,"I am a beacon of faith and tradition, known particularly for ancient Shakti temple. Who am I?",City: Nartiang,nartiang durga temple,20
Kamakhya Temple,Hinduism,Guwahati,India,8th century,Hard,"My rituals and traditions revolve around dedicated to Goddess Kamakhya. Located in Guwahati, who am I?",City: Guwahati,kamakhya temple,30
Dharmasthala Manjunatha Temple,Hinduism,Dharmasthala,India,16th century,Easy,"Standing proudly in Dharmasthala, I am deeply connected to dedicated to Lord Manjunatha. Identify this sacred landmark.",City: Dharmasthala,dharmasthala manjunatha temple,10
Meenakshi Amman Temple,Hinduism,Madurai,India,Ancient (rebuilt 16th century),Medium,"Pilgrims travel great distances to reach me, for I am major Dravidian architectural landmark. Located in India, who am I?",City: Madurai,meenakshi amman temple,20
Meenakshi Amman Temple,Hinduism,Madurai,India,Ancient (rebuilt 16th century),Medium,"Travelers journey to Madurai seeking me, for I am famous for famous for colorful gopurams. What place am I?",City: Madurai,meenakshi amman temple,20
Ambaji Temple,Hinduism,Ambaji,India,Ancient,Hard,"Though centuries have passed since Ancient, devotion tied to dedicated to Goddess Amba still defines me. Who am I?",City: Ambaji,ambaji temple,30
Shani Shingnapur Temple,Hinduism,Shingnapur,India,Ancient,Hard,"Standing proudly in Shingnapur, I am deeply connected to idol installed in open air. Identify this sacred landmark.",City: Shingnapur,shani shingnapur temple,30
Badrinath Temple,Hinduism,Badrinath,India,8th century,Hard,"As a sacred center of Hinduism, I am especially known for dedicated to Lord Vishnu. What is my name?",City: Badrinath,badrinath temple,30
Simhachalam Temple,Hinduism,Visakhapatnam,India,11th century,Hard,I am one of the most important places in Hinduism due to combination of Orissa and Dravidian style. Who am I?,City: Visakhapatnam,simhachalam temple,30
Omkareshwar Temple,Hinduism,Omkareshwar,India,Ancient,Medium,I am sacred ground where located on Mandhata Island defines my importance. Identify this spiritual destination.,City: Omkareshwar,omkareshwar temple,20
Umananda Temple,Hinduism,Guwahati,India,17th century,Easy,I am one of the most important places in Hinduism due to dedicated to Lord Shiva. Who am I?,City: Guwahati,umananda temple,10
Sthaneshwar Mahadev Temple,Hinduism,Kurukshetra,India,Ancient,Easy,"I am not just a place, but a symbol of identity in Hinduism because of associated with Mahabharata. Name me.",City: Kurukshetra,sthaneshwar mahadev temple,10
Anandpur Sahib,Sikhism,Anandpur Sahib,India,1665,Easy,"Travelers journey to Anandpur Sahib seeking me, for I am famous for important Sikh pilgrimage site. What place am I?",City: Anandpur Sahib,anandpur sahib,10
Badrinath Temple,Hinduism,Badrinath,India,8th century,Hard,Devotees of Hinduism consider me holy because I am founded by Adi Shankaracharya. Identify me.,City: Badrinath,badrinath temple,30
ISKCON Temple Imphal,Hinduism,Imphal,India,1981,Medium,"My identity is tied to major Vaishnavite center, making me sacred to millions. What landmark am I?",City: Imphal,iskcon temple imphal,20
Hadimba Devi Temple,Hinduism,Manali,India,1553,Medium,"I am a major pilgrimage destination because of surrounded by cedar forest. Found in Manali, identify me.",City: Manali,hadimba devi temple,20
Attukal Bhagavathy Temple,Hinduism,Thiruvananthapuram,India,Ancient,Hard,"I am a major pilgrimage destination because of famous for Attukal Pongala festival. Found in Thiruvananthapuram, identify me.",City: Thiruvananthapuram,attukal bhagavathy temple,30
Akshardham Temple,Hinduism,New Delhi,India,2005,Medium,"Through centuries since 2005, I remain a symbol of Hinduism. I am largest Hindu temple complex in Delhi. Who am I?",City: New Delhi,akshardham temple,20
Solomon's Temple,Christianity,Aizawl,India,2017,Easy,"In Aizawl, I quietly carry the weight of built by Kohhran Thianghlim Church in spiritual history. Identify me.",City: Aizawl,solomon's temple,10
Mahakaleshwar Temple,Hinduism,Ujjain,India,Ancient,Easy,"In the ancient city of Ujjain, I draw pilgrims from across India. I am known for dedicated to Lord Shiva. Who am I?",City: Ujjain,mahakaleshwar temple,10
Vishnupad Temple,Hinduism,Gaya,India,18th century,Medium,"Standing proudly in Gaya, I am deeply connected to important for Pind Daan rituals. Identify this sacred landmark.",City: Gaya,vishnupad temple,20
Jagannath Temple,Hinduism,Puri,India,12th century,Medium,"I am a beacon of faith and tradition, known particularly for non-Hindus are not allowed inside. Who am I?",City: Puri,jagannath temple,20
Hemis Monastery,Buddhism,Leh,India,1672,Medium,I am sacred ground where famous Hemis festival defines my importance. Identify this spiritual destination.,City: Leh,hemis monastery,20
